Gen,Description,Concentration,Concentration,Units,Units(ug/L),Units(ug/L),Log_Conc,Zscore,Pvlue,
BCAN,Brevican,98 ng/L,98,ng/L,0.098,0.098,-3.351074441,-0.799380456,0.21203492,
STOML2,Stomatin like 2,98 ng/L,98,ng/L,0.098,0.098,-3.351074441,-0.799380456,0.21203492,
DHX9,DExH-box helicase 9,97 ng/L,97,ng/L,0.097,0.097,-3.365871442,-0.80213829,0.211236484,
LMNB2,Lamin B2,97 ng/L,97,ng/L,0.097,0.097,-3.365871442,-0.80213829,0.211236484,
RBP2,Retinol binding protein 2,96 ng/L,96,ng/L,0.096,0.096,-3.380821784,-0.804924703,0.210431566,
FAM171A1,Family with sequence similarity 171 member A1,96 ng/L,96,ng/L,0.096,0.096,-3.380821784,-0.804924703,0.210431566,
MGAT5,"Mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase",96 ng/L,96,ng/L,0.096,0.096,-3.380821784,-0.804924703,0.210431566,
PC,Pyruvate carboxylase,96 ng/L,96,ng/L,0.096,0.096,-3.380821784,-0.804924703,0.210431566,
LRRC19,Leucine rich repeat containing 19,96 ng/L,96,ng/L,0.096,0.096,-3.380821784,-0.804924703,0.210431566,
TMEM63A,Transmembrane protein 63A,96 ng/L,96,ng/L,0.096,0.096,-3.380821784,-0.804924703,0.210431566,
ITGB5,Integrin subunit beta 5,95 ng/L,95,ng/L,0.095,0.095,-3.395928676,-0.807740294,0.209620051,
TXNDC12,Thioredoxin domain containing 12,95 ng/L,95,ng/L,0.095,0.095,-3.395928676,-0.807740294,0.209620051,
LY96,Lymphocyte antigen 96,95 ng/L,95,ng/L,0.095,0.095,-3.395928676,-0.807740294,0.209620051,
PLCB3,Phospholipase C beta 3,94 ng/L,94,ng/L,0.094,0.094,-3.411195433,-0.81058568,0.208801822,
TMEM43,Transmembrane protein 43,94 ng/L,94,ng/L,0.094,0.094,-3.411195433,-0.81058568,0.208801822,
IFI35,Interferon induced protein 35,93 ng/L,93,ng/L,0.093,0.093,-3.426625474,-0.813461498,0.207976756,
CRYBB1,Crystallin beta B1,93 ng/L,93,ng/L,0.093,0.093,-3.426625474,-0.813461498,0.207976756,
ECHDC3,Enoyl-CoA hydratase domain containing 3,93 ng/L,93,ng/L,0.093,0.093,-3.426625474,-0.813461498,0.207976756,
AP2A2,Adaptor related protein complex 2 alpha 2 subunit,93 ng/L,93,ng/L,0.093,0.093,-3.426625474,-0.813461498,0.207976756,
IPO5,Importin 5,92 ng/L,92,ng/L,0.092,0.092,-3.442222329,-0.816368407,0.20714473,
IL5RA,Interleukin 5 receptor subunit alpha,92 ng/L,92,ng/L,0.092,0.092,-3.442222329,-0.816368407,0.20714473,
ACYP1,Acylphosphatase 1,92 ng/L,92,ng/L,0.092,0.092,-3.442222329,-0.816368407,0.20714473,
LY6D,Lymphocyte antigen 6 family member D,92 ng/L,92,ng/L,0.092,0.092,-3.442222329,-0.816368407,0.20714473,
LGALS4,Galectin 4,92 ng/L,92,ng/L,0.092,0.092,-3.442222329,-0.816368407,0.20714473,
S100A16,S100 calcium binding protein A16,92 ng/L,92,ng/L,0.092,0.092,-3.442222329,-0.816368407,0.20714473,
HLA-DPA1,"Major histocompatibility complex, class II, DP alpha 1",92 ng/L,92,ng/L,0.092,0.092,-3.442222329,-0.816368407,0.20714473,
RPRD2,Regulation of nuclear pre-mRNA domain containing 2,91 ng/L,91,ng/L,0.091,0.091,-3.457989644,-0.819307086,0.206305615,
CD74,CD74 molecule,90 ng/L,90,ng/L,0.09,0.09,-3.473931188,-0.822278237,0.20545928,
DDX17,DEAD-box helicase 17,90 ng/L,90,ng/L,0.09,0.09,-3.473931188,-0.822278237,0.20545928,
SPINK7,"Serine peptidase inhibitor, Kazal type 7 (putative)",90 ng/L,90,ng/L,0.09,0.09,-3.473931188,-0.822278237,0.20545928,
HIBCH,3-hydroxyisobutyryl-CoA hydrolase,90 ng/L,90,ng/L,0.09,0.09,-3.473931188,-0.822278237,0.20545928,
RPS18,Ribosomal protein S18,90 ng/L,90,ng/L,0.09,0.09,-3.473931188,-0.822278237,0.20545928,
DPYS,Dihydropyrimidinase,89 ng/L,89,ng/L,0.089,0.089,-3.490050854,-0.825282586,0.204605588,
GFRA1,GDNF family receptor alpha 1,89 ng/L,89,ng/L,0.089,0.089,-3.490050854,-0.825282586,0.204605588,
HEPACAM2,HEPACAM family member 2,89 ng/L,89,ng/L,0.089,0.089,-3.490050854,-0.825282586,0.204605588,
IFI30,"IFI30, lysosomal thiol reductase",89 ng/L,89,ng/L,0.089,0.089,-3.490050854,-0.825282586,0.204605588,
COCH,Cochlin,88 ng/L,88,ng/L,0.088,0.088,-3.506352666,-0.828320884,0.203744399,
PBDC1,Polysaccharide biosynthesis domain containing 1,88 ng/L,88,ng/L,0.088,0.088,-3.506352666,-0.828320884,0.203744399,
GALNT3,Polypeptide N-acetylgalactosaminyltransferase 3,88 ng/L,88,ng/L,0.088,0.088,-3.506352666,-0.828320884,0.203744399,
C20orf27,Chromosome 20 open reading frame 27,87 ng/L,87,ng/L,0.087,0.087,-3.522840789,-0.831393905,0.20287557,
MANEA,Mannosidase endo-alpha,87 ng/L,87,ng/L,0.087,0.087,-3.522840789,-0.831393905,0.20287557,
HSPB6,Heat shock protein family B (small) member 6,86 ng/L,86,ng/L,0.086,0.086,-3.53951953,-0.834502454,0.201998953,
PTGFRN,Prostaglandin F2 receptor inhibitor,86 ng/L,86,ng/L,0.086,0.086,-3.53951953,-0.834502454,0.201998953,
NEU1,Neuraminidase 1,86 ng/L,86,ng/L,0.086,0.086,-3.53951953,-0.834502454,0.201998953,
BCAT1,Branched chain amino acid transaminase 1,85 ng/L,85,ng/L,0.085,0.085,-3.556393349,-0.837647361,0.201114393,
ACE2,Angiotensin I converting enzyme 2,85 ng/L,85,ng/L,0.085,0.085,-3.556393349,-0.837647361,0.201114393,
ABHD10,Abhydrolase domain containing 10,85 ng/L,85,ng/L,0.085,0.085,-3.556393349,-0.837647361,0.201114393,
PTK2B,Protein tyrosine kinase 2 beta,84 ng/L,84,ng/L,0.084,0.084,-3.573466862,-0.840829486,0.200221733,
COPS4,COP9 signalosome subunit 4,84 ng/L,84,ng/L,0.084,0.084,-3.573466862,-0.840829486,0.200221733,
PACSIN2,Protein kinase C and casein kinase substrate in neurons 2,83 ng/L,83,ng/L,0.083,0.083,-3.590744853,-0.844049722,0.199320811,
LY86,Lymphocyte antigen 86,83 ng/L,83,ng/L,0.083,0.083,-3.590744853,-0.844049722,0.199320811,
MMP8,Matrix metallopeptidase 8,83 ng/L,83,ng/L,0.083,0.083,-3.590744853,-0.844049722,0.199320811,
EPHX1,Epoxide hydrolase 1,83 ng/L,83,ng/L,0.083,0.083,-3.590744853,-0.844049722,0.199320811,
ASPRV1,Aspartic peptidase retroviral like 1,83 ng/L,83,ng/L,0.083,0.083,-3.590744853,-0.844049722,0.199320811,
PSMD10,"Proteasome 26S subunit, non-ATPase 10",82 ng/L,82,ng/L,0.082,0.082,-3.60823228,-0.847308991,0.198411458,
PLXNC1,Plexin C1,82 ng/L,82,ng/L,0.082,0.082,-3.60823228,-0.847308991,0.198411458,
NIT1,Nitrilase 1,82 ng/L,82,ng/L,0.082,0.082,-3.60823228,-0.847308991,0.198411458,
VSIG2,V-set and immunoglobulin domain containing 2,81 ng/L,81,ng/L,0.081,0.081,-3.625934282,-0.850608253,0.197493502,
GSK3B,Glycogen synthase kinase 3 beta,81 ng/L,81,ng/L,0.081,0.081,-3.625934282,-0.850608253,0.197493502,
SFXN3,Sideroflexin 3,81 ng/L,81,ng/L,0.081,0.081,-3.625934282,-0.850608253,0.197493502,
FOLR1,Folate receptor 1,81 ng/L,81,ng/L,0.081,0.081,-3.625934282,-0.850608253,0.197493502,
CISD2,CDGSH iron sulfur domain 2,80 ng/L,80,ng/L,0.08,0.08,-3.64385619,-0.8539485,0.196566762,
PRRC1,Proline rich coiled-coil 1,80 ng/L,80,ng/L,0.08,0.08,-3.64385619,-0.8539485,0.196566762,
MYO18A,Myosin XVIIIA,80 ng/L,80,ng/L,0.08,0.08,-3.64385619,-0.8539485,0.196566762,
PCCB,Propionyl-CoA carboxylase beta subunit,79 ng/L,79,ng/L,0.079,0.079,-3.662003536,-0.857330764,0.195631055,
ITGB4,Integrin subunit beta 4,79 ng/L,79,ng/L,0.079,0.079,-3.662003536,-0.857330764,0.195631055,
ADAM22,ADAM metallopeptidase domain 22,78 ng/L,78,ng/L,0.078,0.078,-3.680382066,-0.860756116,0.19468619,
PSMD11,"Proteasome 26S subunit, non-ATPase 11",78 ng/L,78,ng/L,0.078,0.078,-3.680382066,-0.860756116,0.19468619,
PLA2G4A,Phospholipase A2 group IVA,78 ng/L,78,ng/L,0.078,0.078,-3.680382066,-0.860756116,0.19468619,
MGAT3,"Mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase",78 ng/L,78,ng/L,0.078,0.078,-3.680382066,-0.860756116,0.19468619,
SLC44A2,Solute carrier family 44 member 2,78 ng/L,78,ng/L,0.078,0.078,-3.680382066,-0.860756116,0.19468619,
GLCE,Glucuronic acid epimerase,78 ng/L,78,ng/L,0.078,0.078,-3.680382066,-0.860756116,0.19468619,
TPK1,Thiamin pyrophosphokinase 1,78 ng/L,78,ng/L,0.078,0.078,-3.680382066,-0.860756116,0.19468619,
RP2,"RP2, ARL3 GTPase activating protein",77 ng/L,77,ng/L,0.077,0.077,-3.698997744,-0.864225667,0.193731968,
HSD11B1,Hydroxysteroid 11-beta dehydrogenase 1,77 ng/L,77,ng/L,0.077,0.077,-3.698997744,-0.864225667,0.193731968,
SYNCRIP,Synaptotagmin binding cytoplasmic RNA interacting protein,77 ng/L,77,ng/L,0.077,0.077,-3.698997744,-0.864225667,0.193731968,
PAXX,"PAXX, non-homologous end joining factor",77 ng/L,77,ng/L,0.077,0.077,-3.698997744,-0.864225667,0.193731968,
APIP,APAF1 interacting protein,77 ng/L,77,ng/L,0.077,0.077,-3.698997744,-0.864225667,0.193731968,
SEMA3D,Semaphorin 3D,77 ng/L,77,ng/L,0.077,0.077,-3.698997744,-0.864225667,0.193731968,
BANF1,Barrier to autointegration factor 1,77 ng/L,77,ng/L,0.077,0.077,-3.698997744,-0.864225667,0.193731968,
RPL23,Ribosomal protein L23,76 ng/L,76,ng/L,0.076,0.076,-3.717856771,-0.867740572,0.192768185,
GGACT,Gamma-glutamylamine cyclotransferase,75 ng/L,75,ng/L,0.075,0.075,-3.736965594,-0.871302035,0.19179463,
DCHS1,Dachsous cadherin-related 1,75 ng/L,75,ng/L,0.075,0.075,-3.736965594,-0.871302035,0.19179463,
PPP1R14B,Protein phosphatase 1 regulatory inhibitor subunit 14B,75 ng/L,75,ng/L,0.075,0.075,-3.736965594,-0.871302035,0.19179463,
SNRPE,Small nuclear ribonucleoprotein polypeptide E,75 ng/L,75,ng/L,0.075,0.075,-3.736965594,-0.871302035,0.19179463,
ERO1A,Endoplasmic reticulum oxidoreductase 1 alpha,75 ng/L,75,ng/L,0.075,0.075,-3.736965594,-0.871302035,0.19179463,
LAT,Linker for activation of T cells,75 ng/L,75,ng/L,0.075,0.075,-3.736965594,-0.871302035,0.19179463,
LIFR,LIF receptor alpha,74 ng/L,74,ng/L,0.074,0.074,-3.756330919,-0.874911303,0.190811084,
DOK1,Docking protein 1,74 ng/L,74,ng/L,0.074,0.074,-3.756330919,-0.874911303,0.190811084,
B4GALT3,"Beta-1,4-galactosyltransferase 3",74 ng/L,74,ng/L,0.074,0.074,-3.756330919,-0.874911303,0.190811084,
PCDHGC3,"Protocadherin gamma subfamily C, 3",74 ng/L,74,ng/L,0.074,0.074,-3.756330919,-0.874911303,0.190811084,
PGM3,Phosphoglucomutase 3,73 ng/L,73,ng/L,0.073,0.073,-3.775959726,-0.878569679,0.189817321,
EIF4A3,Eukaryotic translation initiation factor 4A3,73 ng/L,73,ng/L,0.073,0.073,-3.775959726,-0.878569679,0.189817321,
CNTNAP4,Contactin associated protein like 4,73 ng/L,73,ng/L,0.073,0.073,-3.775959726,-0.878569679,0.189817321,
NHLRC2,NHL repeat containing 2,73 ng/L,73,ng/L,0.073,0.073,-3.775959726,-0.878569679,0.189817321,
NDST2,N-deacetylase and N-sulfotransferase 2,72 ng/L,72,ng/L,0.072,0.072,-3.795859283,-0.882278516,0.188813106,
INSR,Insulin receptor,72 ng/L,72,ng/L,0.072,0.072,-3.795859283,-0.882278516,0.188813106,
GCNT1,"Glucosaminyl (N-acetyl) transferase 1, core 2",72 ng/L,72,ng/L,0.072,0.072,-3.795859283,-0.882278516,0.188813106,
CLCA1,Chloride channel accessory 1,70 ng/L,70,ng/L,0.07,0.07,-3.836501268,-0.889853283,0.186772336,
DCUN1D1,Defective in cullin neddylation 1 domain containing 1,70 ng/L,70,ng/L,0.07,0.07,-3.836501268,-0.889853283,0.186772336,
RPS24,Ribosomal protein S24,70 ng/L,70,ng/L,0.07,0.07,-3.836501268,-0.889853283,0.186772336,
CDH11,Cadherin 11,70 ng/L,70,ng/L,0.07,0.07,-3.836501268,-0.889853283,0.186772336,
MYCT1,MYC target 1,69 ng/L,69,ng/L,0.069,0.069,-3.857259828,-0.89372222,0.185735267,
ITPA,Inosine triphosphatase,69 ng/L,69,ng/L,0.069,0.069,-3.857259828,-0.89372222,0.185735267,
NDUFA5,NADH:ubiquinone oxidoreductase subunit A5,69 ng/L,69,ng/L,0.069,0.069,-3.857259828,-0.89372222,0.185735267,
GHRL,Ghrelin and obestatin prepropeptide,69 ng/L,69,ng/L,0.069,0.069,-3.857259828,-0.89372222,0.185735267,
AMDHD2,Amidohydrolase domain containing 2,69 ng/L,69,ng/L,0.069,0.069,-3.857259828,-0.89372222,0.185735267,
BPIFB2,BPI fold containing family B member 2,68 ng/L,68,ng/L,0.068,0.068,-3.878321443,-0.897647639,0.184686716,
AK3,Adenylate kinase 3,68 ng/L,68,ng/L,0.068,0.068,-3.878321443,-0.897647639,0.184686716,
EXTL1,Exostosin like glycosyltransferase 1,68 ng/L,68,ng/L,0.068,0.068,-3.878321443,-0.897647639,0.184686716,
ENPP6,Ectonucleotide pyrophosphatase/phosphodiesterase 6,68 ng/L,68,ng/L,0.068,0.068,-3.878321443,-0.897647639,0.184686716,
TCAP,Titin-cap,68 ng/L,68,ng/L,0.068,0.068,-3.878321443,-0.897647639,0.184686716,
MGAM,Maltase-glucoamylase,68 ng/L,68,ng/L,0.068,0.068,-3.878321443,-0.897647639,0.184686716,
HAL,Histidine ammonia-lyase,67 ng/L,67,ng/L,0.067,0.067,-3.899695094,-0.901631215,0.183626402,
EPS15,Epidermal growth factor receptor pathway substrate 15,67 ng/L,67,ng/L,0.067,0.067,-3.899695094,-0.901631215,0.183626402,
CTSG,Cathepsin G,67 ng/L,67,ng/L,0.067,0.067,-3.899695094,-0.901631215,0.183626402,
PSMC4,"Proteasome 26S subunit, ATPase 4",66 ng/L,66,ng/L,0.066,0.066,-3.921390165,-0.905674697,0.18255403,
ADD2,Adducin 2,66 ng/L,66,ng/L,0.066,0.066,-3.921390165,-0.905674697,0.18255403,
COPS7A,COP9 signalosome subunit 7A,66 ng/L,66,ng/L,0.066,0.066,-3.921390165,-0.905674697,0.18255403,
IVD,Isovaleryl-CoA dehydrogenase,66 ng/L,66,ng/L,0.066,0.066,-3.921390165,-0.905674697,0.18255403,
CLCA2,Chloride channel accessory 2,66 ng/L,66,ng/L,0.066,0.066,-3.921390165,-0.905674697,0.18255403,
ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",66 ng/L,66,ng/L,0.066,0.066,-3.921390165,-0.905674697,0.18255403,
ISLR2,Immunoglobulin superfamily containing leucine rich repeat 2,66 ng/L,66,ng/L,0.066,0.066,-3.921390165,-0.905674697,0.18255403,
TOM1L2,Target of myb1 like 2 membrane trafficking protein,66 ng/L,66,ng/L,0.066,0.066,-3.921390165,-0.905674697,0.18255403,
AMACR,Alpha-methylacyl-CoA racemase,65 ng/L,65,ng/L,0.065,0.065,-3.943416472,-0.909779913,0.181469295,
NCK2,NCK adaptor protein 2,64 ng/L,64,ng/L,0.064,0.064,-3.965784285,-0.913948779,0.18037188,
CSE1L,Chromosome segregation 1 like,64 ng/L,64,ng/L,0.064,0.064,-3.965784285,-0.913948779,0.18037188,
HNMT,Histamine N-methyltransferase,64 ng/L,64,ng/L,0.064,0.064,-3.965784285,-0.913948779,0.18037188,
ACP6,"Acid phosphatase 6, lysophosphatidic",64 ng/L,64,ng/L,0.064,0.064,-3.965784285,-0.913948779,0.18037188,
PGRMC2,Progesterone receptor membrane component 2,64 ng/L,64,ng/L,0.064,0.064,-3.965784285,-0.913948779,0.18037188,
PGM2L1,Phosphoglucomutase 2 like 1,64 ng/L,64,ng/L,0.064,0.064,-3.965784285,-0.913948779,0.18037188,
ADGRL1,Adhesion G protein-coupled receptor L1,63 ng/L,63,ng/L,0.063,0.063,-3.988504361,-0.918183299,0.179261455,
DHRS7,Dehydrogenase/reductase 7,63 ng/L,63,ng/L,0.063,0.063,-3.988504361,-0.918183299,0.179261455,
TNNC2,"Troponin C2, fast skeletal type",63 ng/L,63,ng/L,0.063,0.063,-3.988504361,-0.918183299,0.179261455,
RPS3A,Ribosomal protein S3A,63 ng/L,63,ng/L,0.063,0.063,-3.988504361,-0.918183299,0.179261455,
LRP1B,LDL receptor related protein 1B,63 ng/L,63,ng/L,0.063,0.063,-3.988504361,-0.918183299,0.179261455,
ACADSB,Acyl-CoA dehydrogenase short/branched chain,63 ng/L,63,ng/L,0.063,0.063,-3.988504361,-0.918183299,0.179261455,
GSTZ1,Glutathione S-transferase zeta 1,62 ng/L,62,ng/L,0.062,0.062,-4.011587974,-0.922485574,0.178137676,
MAP2K1,Mitogen-activated protein kinase kinase 1,62 ng/L,62,ng/L,0.062,0.062,-4.011587974,-0.922485574,0.178137676,
CNPY2,Canopy FGF signaling regulator 2,62 ng/L,62,ng/L,0.062,0.062,-4.011587974,-0.922485574,0.178137676,
ATP6V1E1,ATPase H+ transporting V1 subunit E1,61 ng/L,61,ng/L,0.061,0.061,-4.035046947,-0.926857808,0.177000183,
C1orf68,Chromosome 1 open reading frame 68,61 ng/L,61,ng/L,0.061,0.061,-4.035046947,-0.926857808,0.177000183,
DNASE1L1,Deoxyribonuclease 1 like 1,60 ng/L,60,ng/L,0.06,0.06,-4.058893689,-0.931302313,0.175848603,
PFDN2,Prefoldin subunit 2,60 ng/L,60,ng/L,0.06,0.06,-4.058893689,-0.931302313,0.175848603,
SCFD1,Sec1 family domain containing 1,59 ng/L,59,ng/L,0.059,0.059,-4.083141235,-0.93582152,0.174682545,
FCER2,Fc fragment of IgE receptor II,59 ng/L,59,ng/L,0.059,0.059,-4.083141235,-0.93582152,0.174682545,
GCHFR,GTP cyclohydrolase I feedback regulator,59 ng/L,59,ng/L,0.059,0.059,-4.083141235,-0.93582152,0.174682545,
HHIPL1,HHIP like 1,59 ng/L,59,ng/L,0.059,0.059,-4.083141235,-0.93582152,0.174682545,
NOTUM,"Notum, palmitoleoyl-protein carboxylesterase",59 ng/L,59,ng/L,0.059,0.059,-4.083141235,-0.93582152,0.174682545,
ELANE,"Elastase, neutrophil expressed",59 ng/L,59,ng/L,0.059,0.059,-4.083141235,-0.93582152,0.174682545,
SERPINB13,Serpin family B member 13,59 ng/L,59,ng/L,0.059,0.059,-4.083141235,-0.93582152,0.174682545,
AP1M1,Adaptor related protein complex 1 mu 1 subunit,58 ng/L,58,ng/L,0.058,0.058,-4.10780329,-0.940417982,0.173501601,
FERMT2,Fermitin family member 2,58 ng/L,58,ng/L,0.058,0.058,-4.10780329,-0.940417982,0.173501601,
PLAU,"Plasminogen activator, urokinase",58 ng/L,58,ng/L,0.058,0.058,-4.10780329,-0.940417982,0.173501601,
PLXNA3,Plexin A3,58 ng/L,58,ng/L,0.058,0.058,-4.10780329,-0.940417982,0.173501601,
RHOF,"Ras homolog family member F, filopodia associated",58 ng/L,58,ng/L,0.058,0.058,-4.10780329,-0.940417982,0.173501601,
EFCAB14,EF-hand calcium binding domain 14,58 ng/L,58,ng/L,0.058,0.058,-4.10780329,-0.940417982,0.173501601,
COPS6,COP9 signalosome subunit 6,58 ng/L,58,ng/L,0.058,0.058,-4.10780329,-0.940417982,0.173501601,
SF3B2,Splicing factor 3b subunit 2,57 ng/L,57,ng/L,0.057,0.057,-4.13289427,-0.945094386,0.172305346,
CCDC80,Coiled-coil domain containing 80,57 ng/L,57,ng/L,0.057,0.057,-4.13289427,-0.945094386,0.172305346,
PMPCB,"Peptidase, mitochondrial processing beta subunit",57 ng/L,57,ng/L,0.057,0.057,-4.13289427,-0.945094386,0.172305346,
PIP4P2,"Phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2",57 ng/L,57,ng/L,0.057,0.057,-4.13289427,-0.945094386,0.172305346,
FAM3B,Family with sequence similarity 3 member B,57 ng/L,57,ng/L,0.057,0.057,-4.13289427,-0.945094386,0.172305346,
CCL23,C-C motif chemokine ligand 23,57 ng/L,57,ng/L,0.057,0.057,-4.13289427,-0.945094386,0.172305346,
YBX3,Y-box binding protein 3,56 ng/L,56,ng/L,0.056,0.056,-4.158429363,-0.949853562,0.171093333,
AMH,Anti-Mullerian hormone,56 ng/L,56,ng/L,0.056,0.056,-4.158429363,-0.949853562,0.171093333,
RPS13,Ribosomal protein S13,56 ng/L,56,ng/L,0.056,0.056,-4.158429363,-0.949853562,0.171093333,
RPL15,Ribosomal protein L15,56 ng/L,56,ng/L,0.056,0.056,-4.158429363,-0.949853562,0.171093333,
MTCH2,Mitochondrial carrier 2,55 ng/L,55,ng/L,0.055,0.055,-4.184424571,-0.954698494,0.169865096,
SBDS,"SBDS, ribosome maturation factor",55 ng/L,55,ng/L,0.055,0.055,-4.184424571,-0.954698494,0.169865096,
PTRHD1,Peptidyl-tRNA hydrolase domain containing 1,55 ng/L,55,ng/L,0.055,0.055,-4.184424571,-0.954698494,0.169865096,
COL4A1,Collagen type IV alpha 1 chain,55 ng/L,55,ng/L,0.055,0.055,-4.184424571,-0.954698494,0.169865096,
SEC23A,"Sec23 homolog A, coat complex II component",54 ng/L,54,ng/L,0.054,0.054,-4.210896782,-0.959632329,0.168620146,
FLT1,Fms related tyrosine kinase 1,54 ng/L,54,ng/L,0.054,0.054,-4.210896782,-0.959632329,0.168620146,
RPS25,Ribosomal protein S25,54 ng/L,54,ng/L,0.054,0.054,-4.210896782,-0.959632329,0.168620146,
UBAC1,UBA domain containing 1,54 ng/L,54,ng/L,0.054,0.054,-4.210896782,-0.959632329,0.168620146,
SRPRB,SRP receptor beta subunit,54 ng/L,54,ng/L,0.054,0.054,-4.210896782,-0.959632329,0.168620146,
SCG2,Secretogranin II,54 ng/L,54,ng/L,0.054,0.054,-4.210896782,-0.959632329,0.168620146,
OGDH,Oxoglutarate dehydrogenase,53 ng/L,53,ng/L,0.053,0.053,-4.23786383,-0.964658391,0.167357971,
GIT1,GIT ArfGAP 1,53 ng/L,53,ng/L,0.053,0.053,-4.23786383,-0.964658391,0.167357971,
NLN,Neurolysin,53 ng/L,53,ng/L,0.053,0.053,-4.23786383,-0.964658391,0.167357971,
PLVAP,Plasmalemma vesicle associated protein,53 ng/L,53,ng/L,0.053,0.053,-4.23786383,-0.964658391,0.167357971,
NAE1,NEDD8 activating enzyme E1 subunit 1,53 ng/L,53,ng/L,0.053,0.053,-4.23786383,-0.964658391,0.167357971,
COX6C,Cytochrome c oxidase subunit 6C,53 ng/L,53,ng/L,0.053,0.053,-4.23786383,-0.964658391,0.167357971,
RPL13,Ribosomal protein L13,53 ng/L,53,ng/L,0.053,0.053,-4.23786383,-0.964658391,0.167357971,
CPNE3,Copine 3,52 ng/L,52,ng/L,0.052,0.052,-4.265344567,-0.969780192,0.166078034,
RPS19,Ribosomal protein S19,52 ng/L,52,ng/L,0.052,0.052,-4.265344567,-0.969780192,0.166078034,
SPR,Sepiapterin reductase,52 ng/L,52,ng/L,0.052,0.052,-4.265344567,-0.969780192,0.166078034,
NCKAP1L,NCK associated protein 1 like,52 ng/L,52,ng/L,0.052,0.052,-4.265344567,-0.969780192,0.166078034,
EIF2S1,Eukaryotic translation initiation factor 2 subunit alpha,52 ng/L,52,ng/L,0.052,0.052,-4.265344567,-0.969780192,0.166078034,
RPS8,Ribosomal protein S8,52 ng/L,52,ng/L,0.052,0.052,-4.265344567,-0.969780192,0.166078034,
RPL30,Ribosomal protein L30,52 ng/L,52,ng/L,0.052,0.052,-4.265344567,-0.969780192,0.166078034,
SF1,Splicing factor 1,52 ng/L,52,ng/L,0.052,0.052,-4.265344567,-0.969780192,0.166078034,
HARS,Histidyl-tRNA synthetase,52 ng/L,52,ng/L,0.052,0.052,-4.265344567,-0.969780192,0.166078034,
ASNA1,"ArsA arsenite transporter, ATP-binding, homolog 1 (bacterial)",52 ng/L,52,ng/L,0.052,0.052,-4.265344567,-0.969780192,0.166078034,
HSD17B8,Hydroxysteroid 17-beta dehydrogenase 8,52 ng/L,52,ng/L,0.052,0.052,-4.265344567,-0.969780192,0.166078034,
MCTS1,"MCTS1, re-initiation and release factor",52 ng/L,52,ng/L,0.052,0.052,-4.265344567,-0.969780192,0.166078034,
CHORDC1,Cysteine and histidine rich domain containing 1,51 ng/L,51,ng/L,0.051,0.051,-4.293358943,-0.975001453,0.16477977,
ASPDH,Aspartate dehydrogenase domain containing,51 ng/L,51,ng/L,0.051,0.051,-4.293358943,-0.975001453,0.16477977,
EIF4B,Eukaryotic translation initiation factor 4B,50 ng/L,50,ng/L,0.05,0.05,-4.321928095,-0.980326111,0.163462585,
TNNT2,"Troponin T2, cardiac type",50 ng/L,50,ng/L,0.05,0.05,-4.321928095,-0.980326111,0.163462585,
CNRIP1,Cannabinoid receptor interacting protein 1,50 ng/L,50,ng/L,0.05,0.05,-4.321928095,-0.980326111,0.163462585,
HNRNPR,Heterogeneous nuclear ribonucleoprotein R,50 ng/L,50,ng/L,0.05,0.05,-4.321928095,-0.980326111,0.163462585,
HP1BP3,Heterochromatin protein 1 binding protein 3,50 ng/L,50,ng/L,0.05,0.05,-4.321928095,-0.980326111,0.163462585,
SGCE,Sarcoglycan epsilon,50 ng/L,50,ng/L,0.05,0.05,-4.321928095,-0.980326111,0.163462585,
CLSTN3,Calsyntenin 3,50 ng/L,50,ng/L,0.05,0.05,-4.321928095,-0.980326111,0.163462585,
TNKS1BP1,Tankyrase 1 binding protein 1,50 ng/L,50,ng/L,0.05,0.05,-4.321928095,-0.980326111,0.163462585,
VEGFC,Vascular endothelial growth factor C,50 ng/L,50,ng/L,0.05,0.05,-4.321928095,-0.980326111,0.163462585,
IL4R,Interleukin 4 receptor,49 ng/L,49,ng/L,0.049,0.049,-4.351074441,-0.985758345,0.162125855,
ADGRB2,Adhesion G protein-coupled receptor B2,49 ng/L,49,ng/L,0.049,0.049,-4.351074441,-0.985758345,0.162125855,
CHMP2A,Charged multivesicular body protein 2A,49 ng/L,49,ng/L,0.049,0.049,-4.351074441,-0.985758345,0.162125855,
CACNA2D3,Calcium voltage-gated channel auxiliary subunit alpha2delta 3,49 ng/L,49,ng/L,0.049,0.049,-4.351074441,-0.985758345,0.162125855,
PSMD1,"Proteasome 26S subunit, non-ATPase 1",49 ng/L,49,ng/L,0.049,0.049,-4.351074441,-0.985758345,0.162125855,
PSMD13,"Proteasome 26S subunit, non-ATPase 13",49 ng/L,49,ng/L,0.049,0.049,-4.351074441,-0.985758345,0.162125855,
SLC39A10,Solute carrier family 39 member 10,49 ng/L,49,ng/L,0.049,0.049,-4.351074441,-0.985758345,0.162125855,
ATP6V1H,ATPase H+ transporting V1 subunit H,48 ng/L,48,ng/L,0.048,0.048,-4.380821784,-0.991302592,0.160768924,
